[--] ----------------------------------------------
[--] CANreal Logfile Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\thomas\Documents\Workspace Tom\HEMS\CAT-C32-1000K-xyz.csplog
[F2] Split file series:       	CAT-C32-1000K-xyz.csplog
[F3] File serial number:      	-1
[F4] Id-Description file:     	<none>
[F9] plugin:                  	J1939; Version: 1.0.0; publisher: esd gmbh; library: J1939Plugin.dll
[F5] Header type:             	0
[F6] Header length:           	1835
[F7] File date:               	17.07.2017
[F8] File time:               	17:09:06
[S1] Hardware:                	1000
[S2] Driver:                  	2607
[S3] Firmware:                	1100
[S5] dll:                     	4807
[S6] Board:                   	CAN_USB2
[S7] status:                  	03000000
[S8] OS:                      	Unsupported Windows Version 6.1  (6,1,7601,2,[Service Pack 1])
[S9] CANreal:                 	4.84
[SA] Features:                	0072 ( 2b Ts Lo )
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[C1] Net number:              	0
[C2] Baud:                    	250.0
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[--] ----------------------------------------------
Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time	Description	CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	Source	Raw PGN	Raw PGN Description	Dest	PGN	PGN Description	Details	Ext. Details	
          30	    	17:09:06	993.849	          0.881	                                        	 419362794	 018FEF7EA	L   	  8	FF	FF	FF	FF	FA	01	FA	01	ÿÿÿÿú_ú_	234     	65271       	Vehicle Electrical Power 1                                  	GLOBAL  	65271       	Vehicle Electrical Power 1                                  	                                                            	Available                                         	
          31	    	17:09:07	045.519	         51.670	                                        	 218034666	 00CFEF1EA	L   	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	234     	65265       	Cruise Control/Vehicle Speed                                	GLOBAL  	65265       	Cruise Control/Vehicle Speed                                	                                                            	Available                                         	
          32	    	17:09:07	088.109	         42.590	                                        	 218034666	 00CFEF1EA	L   	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	234     	65265       	Cruise Control/Vehicle Speed                                	GLOBAL  	65265       	Cruise Control/Vehicle Speed                                	                                                            	Available                                         	
          33	    	17:09:07	149.763	         61.654	                                        	 218034666	 00CFEF1EA	L   	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	234     	65265       	Cruise Control/Vehicle Speed                                	GLOBAL  	65265       	Cruise Control/Vehicle Speed                                	                                                            	Available                                         	
          34	    	17:09:07	192.257	         42.494	                                        	 217944554	 00CFD91EA	L   	  8	FF	FF	FF	FF	FF	FF	FF	FF	ÿÿÿÿÿÿÿÿ	234     	64913       	                                                            	GLOBAL  	64913       	                                                            	                                                            	                                                  	
          35	    	17:09:07	193.246	          0.989	                                        	 218034666	 00CFEF1EA	L   	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	234     	65265       	Cruise Control/Vehicle Speed                                	GLOBAL  	65265       	Cruise Control/Vehicle Speed                                	                                                            	Available                                         	
          36	    	17:09:07	243.348	         50.102	                                        	 218034666	 00CFEF1EA	L   	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	234     	65265       	Cruise Control/Vehicle Speed                                	GLOBAL  	65265       	Cruise Control/Vehicle Speed                                	                                                            	Available                                         	
          37	    	17:09:07	287.882	         44.534	                                        	 218034666	 00CFEF1EA	L   	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	234     	65265       	Cruise Control/Vehicle Speed                                	GLOBAL  	65265       	Cruise Control/Vehicle Speed                                	                                                            	Available                                         	
          38	    	17:09:07	348.888	         61.006	                                        	 419358442	 018FEE6EA	L   	  8	44	0A	09	09	2A	0F	FF	FF	D___*_ÿÿ	234     	65254       	Time/Date                                                   	GLOBAL  	65254       	Time/Date                                                   	                                                            	Available                                         	
          39	    	17:09:07	349.768	          0.880	                                        	 218034666	 00CFEF1EA	L   	  8	FF	FF	FF	FF	FF	FF	FF	3F	ÿÿÿÿÿÿÿ?	234     	65265       	Cruise Control/Vehicle Speed                                	GLOBAL  	65265       	Cruise Control/Vehicle Speed                                	                                                            	Available                                         	
