[--] ----------------------------------------------
[--] CANreal Logfile Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\thomas\Documents\Workspace Tom\HEMS\CAT-3406-365K-2008.csplog
[F2] Split file series:       	CAT-.csplog
[F3] File serial number:      	-1
[F4] Id-Description file:     	<none>
[F9] plugin:                  	J1939; Version: 1.0.0; publisher: esd gmbh; library: J1939Plugin.dll
[F5] Header type:             	0
[F6] Header length:           	1835
[F7] File date:               	04.07.2017
[F8] File time:               	17:20:55
[S1] Hardware:                	1000
[S2] Driver:                  	2607
[S3] Firmware:                	1100
[S5] dll:                     	4807
[S6] Board:                   	CAN_USB2
[S7] status:                  	03000000
[S8] OS:                      	Unsupported Windows Version 6.2  (6,2,9200,2,[])
[S9] CANreal:                 	4.84
[SA] Features:                	0072 ( 2b Ts Lo )
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[C1] Net number:              	0
[C2] Baud:                    	250.0
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[--] ----------------------------------------------
Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time	Description	CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	Source	Raw PGN	Raw PGN Description	Dest	PGN	PGN Description	Details	Ext. Details	
          28	    	17:20:55	936.844	          0.709	                                        	 217945066	 00CFD93EA	L   	  8	D3	FF	FF	FF	FF	FF	FF	FF	”ˇˇˇˇˇˇˇ	234     	64915       	                                                            	GLOBAL  	64915       	                                                            	                                                            	                                                  	
          29	    	17:20:55	937.552	          0.708	                                        	 486459370	 01CFEC7EA	L   	  8	FF	FF	FF	FF	FF	CF	FF	FF	ˇˇˇˇˇœˇˇ	234     	65223       	Electronic Transmission Controller 3                        	GLOBAL  	65223       	Electronic Transmission Controller 3                        	                                                            	Available                                         	
          30	    	17:20:55	938.260	          0.708	                                        	 218039018	 00CFF02EA	L   	  8	00	C8	00	00	FF	FF	FF	FF	_»__ˇˇˇˇ	234     	65282       	Proprietary B                                               	GLOBAL  	65282       	Proprietary B                                               	                                                            	                                                  	
          31	    	17:20:55	989.595	         51.335	                                        	 201326826	 00C0000EA	L   	  8	CD	FF	FF	FF	FF	FF	FF	FF	Õˇˇˇˇˇˇˇ	234     	0           	Torque/Speed Control 1                                      	0       	0           	Torque/Speed Control 1                                      	                                                            	Available                                         	
          32	    	17:20:55	990.331	          0.736	                                        	 217056490	 00CF004EA	L   	  8	FF	FF	FF	8E	31	FF	FF	FF	ˇˇˇé1ˇˇˇ	234     	61444       	Electronic Engine Controller 1                              	GLOBAL  	61444       	Electronic Engine Controller 1                              	                                                            	Available                                         	
          33	    	17:20:55	991.096	          0.765	                                        	 419360746	 018FEEFEA	L   	  8	FF	FF	FF	87	FF	FF	FF	FF	ˇˇˇáˇˇˇˇ	234     	65263       	Engine Fluid Level/Pressure 1                               	GLOBAL  	65263       	Engine Fluid Level/Pressure 1                               	                                                            	Available                                         	
          34	    	17:20:55	991.612	          0.516	                                        	 417989098	 018EA01EA	L   	  3	CB	FE	00	  	  	  	  	  	À˛_     	234     	59904       	Request                                                     	1       	65227       	DM2: Previously active diagnostic trouble codes             	                                                            	                                                  	
          35	    	17:20:56	036.239	         44.627	                                        	 201326826	 00C0000EA	L   	  8	CD	FF	FF	FF	FF	FF	FF	FF	Õˇˇˇˇˇˇˇ	234     	0           	Torque/Speed Control 1                                      	0       	0           	Torque/Speed Control 1                                      	                                                            	Available                                         	
          36	    	17:20:56	036.975	          0.736	                                        	 217056490	 00CF004EA	L   	  8	FF	FF	FF	8D	31	FF	FF	FF	ˇˇˇç1ˇˇˇ	234     	61444       	Electronic Engine Controller 1                              	GLOBAL  	61444       	Electronic Engine Controller 1                              	                                                            	Available                                         	
          37	    	17:20:56	037.735	          0.760	                                        	 217945066	 00CFD93EA	L   	  8	D3	FF	FF	FF	FF	FF	FF	FF	”ˇˇˇˇˇˇˇ	234     	64915       	                                                            	GLOBAL  	64915       	                                                            	                                                            	                                                  	
          38	    	17:20:56	038.444	          0.709	                                        	 218039018	 00CFF02EA	L   	  8	00	C8	00	00	FF	FF	FF	FF	_»__ˇˇˇˇ	234     	65282       	Proprietary B                                               	GLOBAL  	65282       	Proprietary B                                               	                                                            	                                                  	
          39	    	17:20:56	115.246	         76.802	                                        	 201326826	 00C0000EA	L   	  8	CD	FF	FF	FF	FF	FF	FF	FF	Õˇˇˇˇˇˇˇ	234     	0           	Torque/Speed Control 1                                      	0       	0           	Torque/Speed Control 1                                      	                                                            	Available                                         	
          40	    	17:20:56	115.982	          0.736	                                        	 217056490	 00CF004EA	L   	  8	FF	FF	FF	8A	31	FF	FF	FF	ˇˇˇä1ˇˇˇ	234     	61444       	Electronic Engine Controller 1                              	GLOBAL  	61444       	Electronic Engine Controller 1                              	                                                            	Available                                         	
          41	    	17:20:56	116.691	          0.709	                                        	 217944810	 00CFD92EA	L   	  8	FF	FF	FF	FF	FF	FF	FF	FF	ˇˇˇˇˇˇˇˇ	234     	64914       	Engine Operating Information                                	GLOBAL  	64914       	Engine Operating Information                                	                                                            	Available                                         	
          42	    	17:20:56	122.475	          5.784	                                        	 419351274	 018FECAEA	L   	  8	C3	FF	00	00	00	00	FF	FF	√ˇ____ˇˇ	234     	65226       	DM1: Active diagnostic trouble codes                        	GLOBAL  	65226       	DM1: Active diagnostic trouble codes                        	                                                            	Available                                         	
