27904,19,1,11-12,8866,Status
27904,19,1,13-14,8867,Status
27904,19,1,15-16,8868,Status
27904,19,1,17-18,8869,Status
27904,19,1,19.1,8870,Status
29184,37,0,01,8191,Measured
29184,37,0,02-04,8192,Measured
29184,37,0,05-07,8193,Measured
29184,37,0,08-10,8194,Measured
29184,37,1,11-13,8195,Measured
29184,37,1,14-16,8196,Measured
29184,37,1,17-19,8197,Measured
29184,37,2,20-22,8198,Measured
29184,37,2,23-25,8199,Measured
29184,37,2,26-28,8200,Measured
29184,37,2,29-31,8201,Measured
29184,37,3,32-34,8202,Measured
29184,37,3,35-37,8203,Measured
29440,8,1,1.1,8063,Measured
29440,8,1,1.3,8064,Measured
29440,8,2,2-3,8065,Measured
29440,8,4,4,8066,Measured
29696,8,1,1.1,8051,Measured
29696,8,1,1.3,8052,Measured
29696,8,2,2-3,8053,Measured
29696,8,4,4,8054,Measured
29952,8,1,1.1,8039,Measured
29952,8,1,1.3,8040,Measured
29952,8,2,2-3,8041,Measured
29952,8,4,4,8042,Measured
30208,8,1,1.1,8027,Measured
30208,8,1,1.3,8028,Measured
30208,8,2,2-3,8029,Measured
30208,8,4,4,8030,Measured
30464,8,1,1.1,8015,Measured
30464,8,1,1.3,8016,Measured
30464,8,2,2-3,8017,Measured
30464,8,4,4,8018,Measured
30720,8,1,1.1,8003,Measured
30720,8,1,1.3,8004,Measured
30720,8,2,2-3,8005,Measured
30720,8,4,4,8006,Measured
30976,8,1,1.1,7991,Measured
30976,8,1,1.3,7992,Measured
30976,8,2,2-3,7993,Measured
30976,8,4,4,7994,Measured
31232,8,1,1.1,7979,Measured
31232,8,1,1.3,7980,Measured
31232,8,2,2-3,7981,Measured
31232,8,4,4,7982,Measured
31488,8,1,1.1,7967,Measured
31488,8,1,1.3,7968,Measured
31488,8,2,2-3,7969,Measured
31488,8,4,4,7970,Measured
32000,8,1,1.1,7943,Measured
32000,8,1,1.3,7944,Measured
32000,8,2,2-3,7945,Measured
32000,8,4,4,7946,Measured
32000,8,5,5.1,8292,Measured
32000,8,5,5.2,8293,Measured
32000,8,5,5.3,8294,Measured
32000,8,5,5.4,8295,Measured
32000,8,5,5.5,8296,Measured
32000,8,5,5.6,8297,Measured
32000,8,5,5.7,8298,Measured
32000,8,5,5.8,8299,Measured
32000,8,6,6.1,8300,Measured
32000,8,6,6.2,8301,Measured
32000,8,6,6.3,8302,Measured
32000,8,6,6.4,8303,Measured
32000,8,6,6.5,8304,Measured
32000,8,6,6.6,8305,Measured
32000,8,6,6.7,8306,Measured
32256,8,1,1-2,7760,Measured
32256,8,3,3-4,7761,Measured
32768,8,1,1.1,7557,Status
32768,8,1,1.3,7558,Status
32768,8,1,1.5,7559,Status
32768,8,1,1.7,7560,Status
32768,8,2,2.1,7888,Measured
32768,8,2,2.5,7889,Measured
32768,8,3,3.1,7890,Measured
32768,8,4,4,7891,Measured
32768,8,5,5,7892,Measured
33024,8,1,1.1,7331,Status
33024,8,1,1.3,7515,Status
33024,8,1,1.5,7516,Status
33024,8,2,2.1,7851,Status
33024,8,2,2.3,8149,Status
33280,8,1,1,6973,Status
33280,8,2,2-3,6974,Status
33280,8,4,4,6975,Status
33280,8,5,5,6976,Status
33280,8,6,6,6977,Status
33280,8,7,7,6978,Status
33280,8,8,8.1,7587,Status
33536,8,1,1.1,6871,Status
33536,8,2,2-3,6872,Status
33536,8,4,4,6873,Status
33792,8,1,1.1,6782,Status
33792,8,1,1.3,6783,Status
33792,8,1,1.5,6784,Status
33792,8,2,2-3,6785,Status
33792,8,4,4-5,6829,Measured
34048,8,1,1,6730,Status
34048,8,2,2,6874,Measured
34048,8,3,3.1,6881,Status
34048,8,3,3.3,7033,Measured
34048,8,3,3.5,7034,Measured
34048,8,3,3.7,7436,Measured
34048,8,4,4.1,7437,Measured
34048,8,4,4.3,7759,Status
34048,8,4,4.5,7579,Measured
34048,8,4,4.7,7580,Measured
34048,8,5,5,7438,Status
34048,8,6,6,7439,Status
34048,8,7,7.1,7694,Status
34048,8,7,7.3,8148,Status
34048,8,7,7.5,8855,Status
34304,8,1,1.1,5984,Status
34304,8,1,1.3,5985,Status
34304,8,1,1.5,5986,Status
34304,8,1,1.7,5987,Status
34304,8,2,2.1,5988,Status
34304,8,2,2.3,5989,Status
34304,8,2,2.5,5990,Status
34304,8,2,2.7,5991,Status
34304,8,3,3.1,5992,Status
34304,8,3,3.3,5993,Status
34304,8,3,3.5,5994,Status
34304,8,3,3.7,5995,Status
34304,8,4,4.1,5996,Status
34304,8,4,4.3,5997,Status
34304,8,4,4.5,5998,Status
34304,8,4,4.7,5999,Status
34304,8,5,5.1,6000,Status
34304,8,5,5.3,6001,Status
34304,8,5,5.5,6002,Status
34304,8,5,5.7,6003,Status
34304,8,6,6.1,6004,Status
34304,8,6,6.3,6005,Status
34304,8,6,6.5,6006,Status
34304,8,6,6.7,6007,Status
34304,8,7,7.1,6008,Status
34304,8,7,7.3,6009,Status
34304,8,7,7.5,6010,Status
34304,8,7,7.7,6011,Status
34304,8,8,8.1,6012,Status
34304,8,8,8.3,6013,Status
34304,8,8,8.5,6014,Status
34304,8,8,8.7,6015,Status
